j1, j4, j2, j3, Eigenvalue1, Eigenvalue2, e3, e4, First Eigenvector Comp 1, First Eigenvector Comp 2
1.00000, 0.00000, -1.00000, -1.00000, -1.25000, 0.75000, 0.25000, 0.25000, -0.00000, 1.00000
1.00000, 0.00000, -1.00000, -0.90000, -1.20096, 0.75096, 0.22500, 0.22500, 0.02219, 0.99975
1.00000, 0.00000, -1.00000, -0.80000, -1.15394, 0.75394, 0.20000, 0.20000, 0.04544, 0.99897
1.00000, 0.00000, -1.00000, -0.70000, -1.10908, 0.75908, 0.17500, 0.17500, 0.06971, 0.99757
1.00000, 0.00000, -1.00000, -0.60000, -1.06652, 0.76652, 0.15000, 0.15000, 0.09492, 0.99548
1.00000, 0.00000, -1.00000, -0.50000, -1.02639, 0.77639, 0.12500, 0.12500, 0.12098, 0.99265
1.00000, 0.00000, -1.00000, -0.40000, -0.98882, 0.78882, 0.10000, 0.10000, 0.14778, 0.98902
1.00000, 0.00000, -1.00000, -0.30000, -0.95392, 0.80392, 0.07500, 0.07500, 0.17514, 0.98454
1.00000, 0.00000, -1.00000, -0.20000, -0.92178, 0.82178, 0.05000, 0.05000, 0.20290, 0.97920
1.00000, 0.00000, -1.00000, -0.10000, -0.89247, 0.84247, 0.02500, 0.02500, 0.23086, 0.97299
1.00000, 0.00000, -1.00000, -0.00000, -0.86603, 0.86603, 0.00000, 0.00000, 0.25882, 0.96593
1.00000, 0.00000, -1.00000, 0.10000, -0.84247, 0.89247, -0.02500, -0.02500, -0.28656, -0.95806
1.00000, 0.00000, -1.00000, 0.20000, -0.82178, 0.92178, -0.05000, -0.05000, -0.31388, -0.94946
1.00000, 0.00000, -1.00000, 0.30000, -0.80392, 0.95392, -0.07500, -0.07500, -0.34060, -0.94021
1.00000, 0.00000, -1.00000, 0.40000, -0.78882, 0.98882, -0.10000, -0.10000, -0.36653, -0.93041
1.00000, 0.00000, -1.00000, 0.50000, -0.77639, 1.02639, -0.12500, -0.12500, -0.39155, -0.92016
1.00000, 0.00000, -1.00000, 0.60000, -0.76652, 1.06652, -0.15000, -0.15000, -0.41554, -0.90958
1.00000, 0.00000, -1.00000, 0.70000, -0.75908, 1.10908, -0.17500, -0.17500, -0.43842, -0.89877
1.00000, 0.00000, -1.00000, 0.80000, -0.75394, 1.15394, -0.20000, -0.20000, -0.46013, -0.88785
1.00000, 0.00000, -1.00000, 0.90000, -0.75096, 1.20096, -0.22500, -0.22500, -0.48066, -0.87691
1.00000, 0.00000, -0.90000, -1.00000, -1.20096, 0.75096, 0.22500, 0.22500, -0.02219, 0.99975
