j1, j3, j2, j4, e1, e2, Eigenvalue3, Eigenvalue4, First Eigenvector Comp 3, First Eigenvector Comp 4
1.00000, 0.00000, -1.00000, -1.00000, -1.20711, 0.20711, 0.50000, 0.50000, 0.70711, 0.70711
1.00000, 0.00000, -1.00000, -0.90000, -1.18255, 0.23255, 0.50000, 0.45000, -0.71949, -0.69450
1.00000, 0.00000, -1.00000, -0.80000, -1.15887, 0.25887, 0.50000, 0.40000, -0.73162, -0.68171
1.00000, 0.00000, -1.00000, -0.70000, -1.13607, 0.28607, 0.50000, 0.35000, -0.74346, -0.66878
1.00000, 0.00000, -1.00000, -0.60000, -1.11414, 0.31414, 0.50000, 0.30000, -0.75499, -0.65573
1.00000, 0.00000, -1.00000, -0.50000, -1.09307, 0.34307, 0.50000, 0.25000, -0.76618, -0.64262
1.00000, 0.00000, -1.00000, -0.40000, -1.07284, 0.37284, 0.50000, 0.20000, -0.77702, -0.62948
1.00000, 0.00000, -1.00000, -0.30000, -1.05344, 0.40344, 0.50000, 0.15000, -0.78748, -0.61634
1.00000, 0.00000, -1.00000, -0.20000, -1.03485, 0.43485, 0.50000, 0.10000, -0.79755, -0.60326
1.00000, 0.00000, -1.00000, -0.10000, -1.01704, 0.46704, 0.50000, 0.05000, -0.80722, -0.59025
1.00000, 0.00000, -1.00000, -0.00000, -1.00000, 0.50000, 0.50000, 0.00000, -0.81650, -0.57735
1.00000, 0.00000, -1.00000, 0.10000, -0.98370, 0.53370, 0.50000, -0.05000, -0.82537, -0.56460
1.00000, 0.00000, -1.00000, 0.20000, -0.96811, 0.56811, 0.50000, -0.10000, -0.83384, -0.55201
1.00000, 0.00000, -1.00000, 0.30000, -0.95322, 0.60322, 0.50000, -0.15000, -0.84191, -0.53962
1.00000, 0.00000, -1.00000, 0.40000, -0.93899, 0.63899, 0.50000, -0.20000, -0.84959, -0.52744
1.00000, 0.00000, -1.00000, 0.50000, -0.92539, 0.67539, 0.50000, -0.25000, -0.85689, -0.51550
1.00000, 0.00000, -1.00000, 0.60000, -0.91240, 0.71240, 0.50000, -0.30000, -0.86382, -0.50380
1.00000, 0.00000, -1.00000, 0.70000, -0.90000, 0.75000, 0.50000, -0.35000, -0.87039, -0.49237
1.00000, 0.00000, -1.00000, 0.80000, -0.88815, 0.78815, 0.50000, -0.40000, -0.87661, -0.48120
1.00000, 0.00000, -1.00000, 0.90000, -0.87684, 0.82684, 0.50000, -0.45000, -0.88250, -0.47031
1.00000, 0.00000, -0.90000, -1.00000, -1.13640, 0.13640, 0.50000, 0.50000, 0.70711, 0.70711
1.00000, 0.00000, -0.90000, -0.90000, -1.11189, 0.16189, 0.50000, 0.45000, -0.72085, -0.69309
1.00000, 0.00000, -0.90000, -0.80000, -1.08836, 0.18836, 0.50000, 0.40000, -0.73428, -0.67885
1.00000, 0.00000, -0.90000, -0.70000, -1.06580, 0.21580, 0.50000, 0.35000, -0.74734, -0.66444
1.00000, 0.00000, -0.90000, -0.60000, -1.04420, 0.24420, 0.50000, 0.30000, -0.76001, -0.64991
1.00000, 0.00000, -0.90000, -0.50000, -1.02356, 0.27356, 0.50000, 0.25000, -0.77225, -0.63532
1.00000, 0.00000, -0.90000, -0.40000, -1.00383, 0.30383, 0.50000, 0.20000, -0.78403, -0.62072
