j1, j3, j2, j4, Eigenvalue1, Eigenvalue2, e3, e4, First Eigenvector Comp 1, First Eigenvector Comp 2
-1.00000, 0.00000, -1.00000, -1.00000, -1.00000, -0.00000, -0.36603, 1.36603, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.90000, -1.00000, -0.00000, -0.27942, 1.27942, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.80000, -1.00000, -0.00000, -0.19282, 1.19282, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.70000, -1.00000, -0.00000, -0.10622, 1.10622, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.60000, -1.00000, -0.00000, -0.01962, 1.01962, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.50000, -1.00000, -0.00000, 0.06699, 0.93301, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.40000, -1.00000, -0.00000, 0.15359, 0.84641, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.30000, -1.00000, -0.00000, 0.24019, 0.75981, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.20000, -1.00000, -0.00000, 0.32679, 0.67321, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.10000, -1.00000, -0.00000, 0.41340, 0.58660, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.00000, -1.00000, -0.00000, 0.50000, 0.50000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.10000, -1.00000, -0.00000, 0.58660, 0.41340, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.20000, -1.00000, -0.00000, 0.67321, 0.32679, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.30000, -1.00000, -0.00000, 0.75981, 0.24019, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.40000, -1.00000, -0.00000, 0.84641, 0.15359, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.50000, -1.00000, -0.00000, 0.93301, 0.06699, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.60000, -1.00000, -0.00000, 1.01962, -0.01962, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.70000, -1.00000, -0.00000, 1.10622, -0.10622, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.80000, -1.00000, -0.00000, 1.19282, -0.19282, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.90000, -1.00000, -0.00000, 1.27942, -0.27942, -0.86603, -0.50000
-1.00000, 0.00000, -0.90000, -1.00000, -0.95197, 0.00197, -0.39103, 1.34103, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.90000, -0.95197, 0.00197, -0.30442, 1.25442, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.80000, -0.95197, 0.00197, -0.21782, 1.16782, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.70000, -0.95197, 0.00197, -0.13122, 1.08122, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.60000, -0.95197, 0.00197, -0.04462, 0.99462, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.50000, -0.95197, 0.00197, 0.04199, 0.90801, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.40000, -0.95197, 0.00197, 0.12859, 0.82141, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.30000, -0.95197, 0.00197, 0.21519, 0.73481, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.20000, -0.95197, 0.00197, 0.30179, 0.64821, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.10000, -0.95197, 0.00197, 0.38840, 0.56160, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, -0.00000, -0.95197, 0.00197, 0.47500, 0.47500, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.10000, -0.95197, 0.00197, 0.56160, 0.38840, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.20000, -0.95197, 0.00197, 0.64821, 0.30179, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.30000, -0.95197, 0.00197, 0.73481, 0.21519, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.40000, -0.95197, 0.00197, 0.82141, 0.12859, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.50000, -0.95197, 0.00197, 0.90801, 0.04199, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.60000, -0.95197, 0.00197, 0.99462, -0.04462, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.70000, -0.95197, 0.00197, 1.08122, -0.13122, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.80000, -0.95197, 0.00197, 1.16782, -0.21782, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.90000, -0.95197, 0.00197, 1.25442, -0.30442, -0.88785, -0.46013
-1.00000, 0.00000, -0.80000, -1.00000, -0.90826, 0.00826, -0.41603, 1.31603, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.90000, -0.90826, 0.00826, -0.32942, 1.22942, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.80000, -0.90826, 0.00826, -0.24282, 1.14282, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.70000, -0.90826, 0.00826, -0.15622, 1.05622, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.60000, -0.90826, 0.00826, -0.06962, 0.96962, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.50000, -0.90826, 0.00826, 0.01699, 0.88301, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.40000, -0.90826, 0.00826, 0.10359, 0.79641, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.30000, -0.90826, 0.00826, 0.19019, 0.70981, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.20000, -0.90826, 0.00826, 0.27679, 0.62321, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.10000, -0.90826, 0.00826, 0.36340, 0.53660, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, -0.00000, -0.90826, 0.00826, 0.45000, 0.45000, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.10000, -0.90826, 0.00826, 0.53660, 0.36340, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.20000, -0.90826, 0.00826, 0.62321, 0.27679, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.30000, -0.90826, 0.00826, 0.70981, 0.19019, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.40000, -0.90826, 0.00826, 0.79641, 0.10359, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.50000, -0.90826, 0.00826, 0.88301, 0.01699, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.60000, -0.90826, 0.00826, 0.96962, -0.06962, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.70000, -0.90826, 0.00826, 1.05622, -0.15622, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.80000, -0.90826, 0.00826, 1.14282, -0.24282, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.90000, -0.90826, 0.00826, 1.22942, -0.32942, -0.90958, -0.41554
-1.00000, 0.00000, -0.70000, -1.00000, -0.86941, 0.01941, -0.44103, 1.29103, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.90000, -0.86941, 0.01941, -0.35442, 1.20442, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.80000, -0.86941, 0.01941, -0.26782, 1.11782, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.70000, -0.86941, 0.01941, -0.18122, 1.03122, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.60000, -0.86941, 0.01941, -0.09462, 0.94462, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.50000, -0.86941, 0.01941, -0.00801, 0.85801, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.40000, -0.86941, 0.01941, 0.07859, 0.77141, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.30000, -0.86941, 0.01941, 0.16519, 0.68481, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.20000, -0.86941, 0.01941, 0.25179, 0.59821, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.10000, -0.86941, 0.01941, 0.33840, 0.51160, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, -0.00000, -0.86941, 0.01941, 0.42500, 0.42500, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.10000, -0.86941, 0.01941, 0.51160, 0.33840, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.20000, -0.86941, 0.01941, 0.59821, 0.25179, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.30000, -0.86941, 0.01941, 0.68481, 0.16519, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.40000, -0.86941, 0.01941, 0.77141, 0.07859, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.50000, -0.86941, 0.01941, 0.85801, -0.00801, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.60000, -0.86941, 0.01941, 0.94462, -0.09462, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.70000, -0.86941, 0.01941, 1.03122, -0.18122, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.80000, -0.86941, 0.01941, 1.11782, -0.26782, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.90000, -0.86941, 0.01941, 1.20442, -0.35442, -0.93041, -0.36653
-1.00000, 0.00000, -0.60000, -1.00000, -0.83589, 0.03589, -0.46603, 1.26603, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.90000, -0.83589, 0.03589, -0.37942, 1.17942, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.80000, -0.83589, 0.03589, -0.29282, 1.09282, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.70000, -0.83589, 0.03589, -0.20622, 1.00622, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.60000, -0.83589, 0.03589, -0.11962, 0.91962, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.50000, -0.83589, 0.03589, -0.03301, 0.83301, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.40000, -0.83589, 0.03589, 0.05359, 0.74641, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.30000, -0.83589, 0.03589, 0.14019, 0.65981, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.20000, -0.83589, 0.03589, 0.22679, 0.57321, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.10000, -0.83589, 0.03589, 0.31340, 0.48660, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, -0.00000, -0.83589, 0.03589, 0.40000, 0.40000, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.10000, -0.83589, 0.03589, 0.48660, 0.31340, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.20000, -0.83589, 0.03589, 0.57321, 0.22679, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.30000, -0.83589, 0.03589, 0.65981, 0.14019, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.40000, -0.83589, 0.03589, 0.74641, 0.05359, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.50000, -0.83589, 0.03589, 0.83301, -0.03301, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.60000, -0.83589, 0.03589, 0.91962, -0.11962, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.70000, -0.83589, 0.03589, 1.00622, -0.20622, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.80000, -0.83589, 0.03589, 1.09282, -0.29282, -0.94946, -0.31388
-1.00000, 0.00000, -0.60000, 0.90000, -0.83589, 0.03589, 1.17942, -0.37942, -0.94946, -0.31388
-1.00000, 0.00000, -0.50000, -1.00000, -0.80801, 0.05801, -0.49103, 1.24103, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.90000, -0.80801, 0.05801, -0.40442, 1.15442, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.80000, -0.80801, 0.05801, -0.31782, 1.06782, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.70000, -0.80801, 0.05801, -0.23122, 0.98122, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.60000, -0.80801, 0.05801, -0.14462, 0.89462, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.50000, -0.80801, 0.05801, -0.05801, 0.80801, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.40000, -0.80801, 0.05801, 0.02859, 0.72141, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.30000, -0.80801, 0.05801, 0.11519, 0.63481, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.20000, -0.80801, 0.05801, 0.20179, 0.54821, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.10000, -0.80801, 0.05801, 0.28840, 0.46160, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, -0.00000, -0.80801, 0.05801, 0.37500, 0.37500, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.10000, -0.80801, 0.05801, 0.46160, 0.28840, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.20000, -0.80801, 0.05801, 0.54821, 0.20179, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.30000, -0.80801, 0.05801, 0.63481, 0.11519, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.40000, -0.80801, 0.05801, 0.72141, 0.02859, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.50000, -0.80801, 0.05801, 0.80801, -0.05801, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.60000, -0.80801, 0.05801, 0.89462, -0.14462, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.70000, -0.80801, 0.05801, 0.98122, -0.23122, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.80000, -0.80801, 0.05801, 1.06782, -0.31782, -0.96593, -0.25882
-1.00000, 0.00000, -0.50000, 0.90000, -0.80801, 0.05801, 1.15442, -0.40442, -0.96593, -0.25882
-1.00000, 0.00000, -0.40000, -1.00000, -0.78589, 0.08589, -0.51603, 1.21603, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.90000, -0.78589, 0.08589, -0.42942, 1.12942, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.80000, -0.78589, 0.08589, -0.34282, 1.04282, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.70000, -0.78589, 0.08589, -0.25622, 0.95622, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.60000, -0.78589, 0.08589, -0.16962, 0.86962, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.50000, -0.78589, 0.08589, -0.08301, 0.78301, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.40000, -0.78589, 0.08589, 0.00359, 0.69641, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.30000, -0.78589, 0.08589, 0.09019, 0.60981, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.20000, -0.78589, 0.08589, 0.17679, 0.52321, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.10000, -0.78589, 0.08589, 0.26340, 0.43660, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, -0.00000, -0.78589, 0.08589, 0.35000, 0.35000, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.10000, -0.78589, 0.08589, 0.43660, 0.26340, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.20000, -0.78589, 0.08589, 0.52321, 0.17679, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.30000, -0.78589, 0.08589, 0.60981, 0.09019, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.40000, -0.78589, 0.08589, 0.69641, 0.00359, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.50000, -0.78589, 0.08589, 0.78301, -0.08301, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.60000, -0.78589, 0.08589, 0.86962, -0.16962, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.70000, -0.78589, 0.08589, 0.95622, -0.25622, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.80000, -0.78589, 0.08589, 1.04282, -0.34282, -0.97920, -0.20290
-1.00000, 0.00000, -0.40000, 0.90000, -0.78589, 0.08589, 1.12942, -0.42942, -0.97920, -0.20290
-1.00000, 0.00000, -0.30000, -1.00000, -0.76941, 0.11941, -0.54103, 1.19103, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.90000, -0.76941, 0.11941, -0.45442, 1.10442, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.80000, -0.76941, 0.11941, -0.36782, 1.01782, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.70000, -0.76941, 0.11941, -0.28122, 0.93122, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.60000, -0.76941, 0.11941, -0.19462, 0.84462, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.50000, -0.76941, 0.11941, -0.10801, 0.75801, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.40000, -0.76941, 0.11941, -0.02141, 0.67141, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.30000, -0.76941, 0.11941, 0.06519, 0.58481, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.20000, -0.76941, 0.11941, 0.15179, 0.49821, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.10000, -0.76941, 0.11941, 0.23840, 0.41160, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, -0.00000, -0.76941, 0.11941, 0.32500, 0.32500, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.10000, -0.76941, 0.11941, 0.41160, 0.23840, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.20000, -0.76941, 0.11941, 0.49821, 0.15179, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.30000, -0.76941, 0.11941, 0.58481, 0.06519, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.40000, -0.76941, 0.11941, 0.67141, -0.02141, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.50000, -0.76941, 0.11941, 0.75801, -0.10801, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.60000, -0.76941, 0.11941, 0.84462, -0.19462, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.70000, -0.76941, 0.11941, 0.93122, -0.28122, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.80000, -0.76941, 0.11941, 1.01782, -0.36782, -0.98902, -0.14778
-1.00000, 0.00000, -0.30000, 0.90000, -0.76941, 0.11941, 1.10442, -0.45442, -0.98902, -0.14778
-1.00000, 0.00000, -0.20000, -1.00000, -0.75826, 0.15826, -0.56603, 1.16603, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.90000, -0.75826, 0.15826, -0.47942, 1.07942, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.80000, -0.75826, 0.15826, -0.39282, 0.99282, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.70000, -0.75826, 0.15826, -0.30622, 0.90622, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.60000, -0.75826, 0.15826, -0.21962, 0.81962, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.50000, -0.75826, 0.15826, -0.13301, 0.73301, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.40000, -0.75826, 0.15826, -0.04641, 0.64641, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.30000, -0.75826, 0.15826, 0.04019, 0.55981, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.20000, -0.75826, 0.15826, 0.12679, 0.47321, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.10000, -0.75826, 0.15826, 0.21340, 0.38660, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, -0.00000, -0.75826, 0.15826, 0.30000, 0.30000, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, 0.10000, -0.75826, 0.15826, 0.38660, 0.21340, -0.99548, -0.09492
-1.00000, 0.00000, -0.20000, 0.20000, -0.75826, 0.15826, 0.47321, 0.12679, -0.99548, -0.09492
