j1, j4, j2, j3, e1, e2, Eigenvalue3, Eigenvalue4, First Eigenvector Comp 3, First Eigenvector Comp 4
-1.00000, 0.00000, -1.00000, -1.00000,-0.75000, 0.25000, -0.45711, 0.95711, -0.70711, -0.70711
-1.00000, 0.00000, -1.00000, -0.90000,-0.72500, 0.22500, -0.45755, 0.95755, -0.69450, -0.71949
-1.00000, 0.00000, -1.00000, -0.80000,-0.70000, 0.20000, -0.45887, 0.95887, -0.68171, -0.73162
-1.00000, 0.00000, -1.00000, -0.70000,-0.67500, 0.17500, -0.46107, 0.96107, -0.66878, -0.74346
-1.00000, 0.00000, -1.00000, -0.60000,-0.65000, 0.15000, -0.46414, 0.96414, -0.65573, -0.75499
-1.00000, 0.00000, -1.00000, -0.50000,-0.62500, 0.12500, -0.46807, 0.96807, -0.64262, -0.76618
-1.00000, 0.00000, -1.00000, -0.40000,-0.60000, 0.10000, -0.47284, 0.97284, -0.62948, -0.77702
-1.00000, 0.00000, -1.00000, -0.30000,-0.57500, 0.07500, -0.47844, 0.97844, -0.61634, -0.78748
-1.00000, 0.00000, -1.00000, -0.20000,-0.55000, 0.05000, -0.48485, 0.98485, -0.60326, -0.79755
-1.00000, 0.00000, -1.00000, -0.10000,-0.52500, 0.02500, -0.49204, 0.99204, -0.59025, -0.80722
-1.00000, 0.00000, -1.00000, -0.00000,-0.50000, 0.00000, -0.50000, 1.00000, -0.57735, -0.81650
-1.00000, 0.00000, -1.00000, 0.10000,-0.47500, -0.02500, -0.50870, 1.00870, -0.56460, -0.82537
-1.00000, 0.00000, -1.00000, 0.20000,-0.45000, -0.05000, -0.51811, 1.01811, -0.55201, -0.83384
-1.00000, 0.00000, -1.00000, 0.30000,-0.42500, -0.07500, -0.52822, 1.02822, -0.53962, -0.84191
-1.00000, 0.00000, -1.00000, 0.40000,-0.40000, -0.10000, -0.53899, 1.03899, -0.52744, -0.84959
-1.00000, 0.00000, -1.00000, 0.50000,-0.37500, -0.12500, -0.55039, 1.05039, -0.51550, -0.85689
-1.00000, 0.00000, -1.00000, 0.60000,-0.35000, -0.15000, -0.56240, 1.06240, -0.50380, -0.86382
-1.00000, 0.00000, -1.00000, 0.70000,-0.32500, -0.17500, -0.57500, 1.07500, -0.49237, -0.87039
-1.00000, 0.00000, -1.00000, 0.80000,-0.30000, -0.20000, -0.58815, 1.08815, -0.48120, -0.87661
-1.00000, 0.00000, -1.00000, 0.90000,-0.27500, -0.22500, -0.60184, 1.10184, -0.47031, -0.88250
-1.00000, 0.00000, -0.90000, -1.00000,-0.75000, 0.25000, -0.38640, 0.88640, -0.70711, -0.70711
-1.00000, 0.00000, -0.90000, -0.90000,-0.72500, 0.22500, -0.38689, 0.88689, -0.69309, -0.72085
-1.00000, 0.00000, -0.90000, -0.80000,-0.70000, 0.20000, -0.38836, 0.88836, -0.67885, -0.73428
