j1,j4,j2,j3,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
1.0,0.0,-1.0,-1.0,-1.25,0.75,0.25,0.25,-0.0,1.0,0.665531685804097,0.9982975287061459,4.534770876181564e-05,0.0,0.0,-1.8147446161066627e-19,0.0016571235850924358,-0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.9,-1.20096,0.75096,0.225,0.225,0.02219,0.99975,0.6648297046666741,0.9973692826952161,-8.809142651444724e-20,-1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0023983382556584864,0.00013965865365108416,9.271261567618369e-05,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.8,-1.15394,0.75394,0.2,0.2,0.04544,0.99897,0.6638350618429647,0.9962665942703522,-6.776263578034403e-20,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0034355223696068715,0.0002170427189814027,8.084908765147723e-05,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.7,-1.10908,0.75908,0.175,0.175,0.06971,0.99757,0.662355762338349,0.9947473932219874,4.0657581468206416e-20,-2.168404344971009e-19,-2.168404344971009e-19,0.0,0.004867089035649735,0.0003399109898702538,4.561757063050106e-05,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.6,-1.06652,0.76652,0.15,0.15,0.09492,0.99548,0.660833797560177,0.9929621429266808,1.7618285302889447e-19,0.00027517360502373606,0.0002751736050237356,0.0,0.0059885666650124035,0.000498918842983286,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.5,-1.02639,0.77639,0.125,0.125,0.12098,0.99265,0.6601182646570998,0.9912663603770712,5.421010862427522e-20,0.0013002884728984126,0.0013002884728984126,2.168404344971009e-19,0.005519905505632721,0.0006131330937367831,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.4,-0.98882,0.78882,0.1,0.1,0.14778,0.98902,0.6590395771124148,0.9889708475631198,0.0,0.002560781772428567,0.002560781772428567,0.0,0.0051692866016492135,0.0007383010323421604,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.3,-0.95392,0.80392,0.075,0.075,0.17514,0.98454,0.6576345009731779,0.9859871008882147,8.131516293641283e-20,0.004145252786790321,0.004145252786790322,0.0,0.004851771101023371,0.0008706051026526474,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.2,-0.92178,0.82178,0.05,0.05,0.2029,0.9792,0.6559252699313756,0.9822083824116066,-5.421010862427522e-20,0.006130703043369014,0.006130703043369014,-2.168404344971009e-19,0.004524942585845809,0.0010052715546494853,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.1,-0.89247,0.84247,0.025,0.025,0.23086,0.97299,0.6539190174937042,0.977523546989834,5.421010862427522e-20,0.00858488912953375,0.00858488912953375,0.0,0.004169799685870409,0.001136889919923413,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.0,-0.86603,0.86603,0.0,0.0,0.25882,0.96593,0.6516243574140276,0.9718279993479289,-8.131516293641283e-20,0.011564755316677135,0.011564755316677135,0.0,0.0037821369020381267,0.001260374687314562,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.1,-0.84247,0.89247,-0.025,-0.025,-0.28656,-0.95806,0.6490514761285942,0.9650340823077492,1.6263032587282567e-19,0.015113070174513014,0.015113070174513014,0.0,0.0033679881525711867,0.0013717782093990963,0.0,0.0,0.0,0.0,0.0
