j1,j3,j2,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
-1.0,0.0,-1.0,-1.0,-1.0,-0.0,-0.36603,1.36603,-0.86603,-0.5,0.3918607151631618,0.9342303543531219,0.0,0.04004997557432903,-1.2485265642528387e-18,0.012849557199115298,0.0,0.012849490818377064,0.0,2.0826696230596325e-05,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.9,-1.0,-0.0,-0.27942,1.27942,-0.86603,-0.5,0.38793098855979463,0.9475636621548791,-8.673617379884035e-19,0.026338041038785957,-1.2637731573034161e-18,0.013032999239301832,0.0,0.013032932908401131,0.0,3.257225167045178e-05,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.8,-1.0,-0.0,-0.19282,1.19282,-0.86603,-0.5,0.3853171890244264,0.9564085335334578,-8.673617379884035e-19,0.017231576222271457,-1.277325684459485e-18,0.013154736867217824,0.0,0.01315467146897979,0.0,5.0691487454213454e-05,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.7,-1.0,-0.0,-0.10622,1.10622,-0.86603,-0.5,0.3835880257815738,0.9622233626295859,0.0,0.011228585603847705,-1.2841019480375193e-18,0.013234845065007765,0.0,0.013234781676452971,0.0,7.863595409326072e-05,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.6,-1.0,-0.0,-0.01962,1.01962,-0.86603,-0.5,0.38244335623486175,0.9660163923416009,0.0,0.007287720491440425,-1.2874900798265365e-18,0.013287216151089427,0.0,0.013287156239134193,0.0,0.00012172665390128774,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.5,-1.0,-0.0,0.06699,0.93301,-0.86603,-0.5,0.38167765628909683,0.9684675656850145,8.673617379884035e-19,0.00470204281279215,-1.2874900798265365e-18,0.013321240516962233,0.0,0.013321186214362457,0.0,0.00018817736609171487,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.4,-1.0,-0.0,0.15359,0.84641,-0.86603,-0.5,0.3811506387989952,0.9700249197198294,0.0,0.0029984368390747443,-1.2874900798265365e-18,0.01334313958286059,0.0,0.013343094090247112,0.0,0.0002906229837296243,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.3,-1.0,-0.0,0.24019,0.75981,-0.86603,-0.5,0.3807641084976673,0.9709776691725875,0.0,0.0018600425060352661,-1.3010426069826053e-18,0.01335698245056173,0.0,0.013356950646513701,0.0,0.00044856907956943823,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.2,-1.0,-0.0,0.32679,0.67321,-0.86603,-0.5,0.3804454280237574,0.9715040014843338,0.0,0.0010734321239306728,-1.2739375526704677e-18,0.013365360484547433,0.0,0.013365349852622345,0.0,0.0006920706893810108,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.1,-1.0,-0.0,0.4134,0.5866,-0.86603,-0.5,0.3801343039658267,0.9717028132777042,0.0,0.0004901822909268174,-1.3010426069826053e-18,0.013369850775805613,0.0,0.013369872831352561,0.0,0.0010674965267482477,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.0,-1.0,-0.0,0.5,0.5,-0.86603,-0.5,0.3797717951491028,0.9716114253293383,-8.673617379884035e-19,-2.0599841277224584e-18,-1.5178830414797062e-18,0.013371299971555584,0.0,0.013371372435526357,0.0,0.0016461195246234408,0.0,0.0,0.0
-1.0,0.0,-1.0,0.1,-1.0,-0.0,0.5866,0.4134,-0.86603,-0.5,0.3801343039658267,0.9717028132777042,0.0,-2.0057740190981832e-18,0.0004901822909268178,0.013369850775805613,0.0,0.013369872831352561,0.0,0.001067496526748248,0.0,0.0,0.0
-1.0,0.0,-1.0,0.2,-1.0,-0.0,0.67321,0.32679,-0.86603,-0.5,0.3804454280237574,0.9715040014843338,0.0,-2.0599841277224584e-18,0.0010734321239306733,0.013365360484547433,0.0,0.013365349852622345,0.0,0.0006920706893810111,0.0,0.0,0.0
-1.0,0.0,-1.0,0.3,-1.0,-0.0,0.75981,0.24019,-0.86603,-0.5,0.3807641084976673,0.9709776691725875,0.0,-2.032879073410321e-18,0.0018600425060352668,0.01335698245056173,0.0,0.013356950646513701,0.0,0.0004485690795694384,0.0,0.0,0.0
-1.0,0.0,-1.0,0.4,-1.0,-0.0,0.84641,0.15359,-0.86603,-0.5,0.3811506387989952,0.9700249197198294,0.0,-2.032879073410321e-18,0.002998436839074745,0.01334313958286059,0.0,0.013343094090247112,0.0,0.0002906229837296244,0.0,0.0,0.0
-1.0,0.0,-1.0,0.5,-1.0,-0.0,0.93301,0.06699,-0.86603,-0.5,0.38167765628909683,0.9684675656850145,8.673617379884035e-19,-2.032879073410321e-18,0.0047020428127921505,0.013321240516962233,0.0,0.013321186214362457,0.0,0.00018817736609171492,0.0,0.0,0.0
-1.0,0.0,-1.0,0.6,-1.0,-0.0,1.01962,-0.01962,-0.86603,-0.5,0.38244335623486175,0.9660163923416009,0.0,-2.0261028098322864e-18,0.007287720491440426,0.013287216151089427,0.0,0.013287156239134193,0.0,0.00012172665390128778,0.0,0.0,0.0
-1.0,0.0,-1.0,0.7,-1.0,-0.0,1.10622,-0.10622,-0.86603,-0.5,0.3835880257815738,0.9622233626295859,0.0,-2.019326546254252e-18,0.011228585603847707,0.013234845065007765,0.0,0.013234781676452971,0.0,7.863595409326074e-05,0.0,0.0,0.0
-1.0,0.0,-1.0,0.8,-1.0,-0.0,1.19282,-0.19282,-0.86603,-0.5,0.3853171890244264,0.9564085335334578,-8.673617379884035e-19,-2.0091621508872004e-18,0.017231576222271457,0.013154736867217824,0.0,0.01315467146897979,0.0,5.069148745421347e-05,0.0,0.0,0.0
-1.0,0.0,-1.0,0.9,-1.0,-0.0,1.27942,-0.27942,-0.86603,-0.5,0.38793098855979463,0.9475636621548791,-8.673617379884035e-19,-1.9888333601530972e-18,0.026338041038785957,0.013032999239301832,0.0,0.013032932908401131,0.0,3.257225167045179e-05,0.0,0.0,0.0
-1.0,0.0,-0.9,-1.0,-0.95197,0.00197,-0.39103,1.34103,-0.88785,-0.46013,0.36787542828211817,0.9114898311960234,0.0,0.05660748057615638,-9.427476702940363e-18,0.01677589768262215,0.0,0.0150972656369007,0.0,2.9436891918971985e-05,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.9,-0.95197,0.00197,-0.30442,1.25442,-0.88785,-0.46013,0.3618013820066609,0.9299856675412095,0.0,0.037447760519535654,-9.618906149019835e-18,0.017116723793973516,0.0,0.015403446687046978,0.0,4.6311640199090115e-05,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.8,-0.95197,0.00197,-0.21782,1.16782,-0.88785,-0.46013,0.35772217699937464,0.9423767218402577,0.0,0.02459698515210172,-9.747655157002488e-18,0.017345428872753504,0.0,0.015608414203608801,0.0,7.235889208078952e-05,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.7,-0.95197,0.00197,-0.13122,1.08122,-0.88785,-0.46013,0.35500731081723114,0.9505762856041623,0.0,0.0160699237284045,-9.832358451727918e-18,0.01749735084499745,0.0,0.015743807172892015,0.0,0.00011254078021687734,0.0,0.0,0.0
