j1,j2,j3,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin
-1.0,0.0,-1.0,-1.0,-1.0,-0.0,-0.36603,1.36603,-0.86603,0.5,0.36736683839705403
-1.0,0.0,-1.0,-0.9,-1.0,-0.0,-0.27942,1.27942,-0.86603,0.5,0.36308015979760433
-1.0,0.0,-1.0,-0.8,-1.0,-0.0,-0.19282,1.19282,-0.86603,0.5,0.3602229161635222
-1.0,0.0,-1.0,-0.7,-1.0,-0.0,-0.10622,1.10622,-0.86603,0.5,0.3583233773137396
-1.0,0.0,-1.0,-0.6,-1.0,-0.0,-0.01962,1.01962,-0.86603,0.5,0.35705155247239806
-1.0,0.0,-1.0,-0.5,-1.0,-0.0,0.06699,0.93301,-0.86603,0.5,0.35617880828751575
-1.0,0.0,-1.0,-0.4,-1.0,-0.0,0.15359,0.84641,-0.86603,0.5,0.35554497668215357
-1.0,0.0,-1.0,-0.3,-1.0,-0.0,0.24019,0.75981,-0.86603,0.5,0.35503171646076004
-1.0,0.0,-1.0,-0.2,-1.0,-0.0,0.32679,0.67321,-0.86603,0.5,0.3545423566917867
-1.0,0.0,-1.0,-0.1,-1.0,-0.0,0.4134,0.5866,-0.86603,0.5,0.3539841372674786
-1.0,0.0,-1.0,-0.0,-1.0,-0.0,0.5,0.5,-0.86603,0.5,0.3532512181298256
-1.0,0.0,-1.0,0.1,-1.0,-0.0,0.5866,0.4134,-0.86603,0.5,0.3539841372674786
-1.0,0.0,-1.0,0.2,-1.0,-0.0,0.67321,0.32679,-0.86603,0.5,0.3545423566917867
-1.0,0.0,-1.0,0.3,-1.0,-0.0,0.75981,0.24019,-0.86603,0.5,0.35503171646076004
-1.0,0.0,-1.0,0.4,-1.0,-0.0,0.84641,0.15359,-0.86603,0.5,0.35554497668215357
-1.0,0.0,-1.0,0.5,-1.0,-0.0,0.93301,0.06699,-0.86603,0.5,0.35617880828751575
-1.0,0.0,-1.0,0.6,-1.0,-0.0,1.01962,-0.01962,-0.86603,0.5,0.35705155247239806
-1.0,0.0,-1.0,0.7,-1.0,-0.0,1.10622,-0.10622,-0.86603,0.5,0.3583233773137396
-1.0,0.0,-1.0,0.8,-1.0,-0.0,1.19282,-0.19282,-0.86603,0.5,0.3602229161635222
-1.0,0.0,-1.0,0.9,-1.0,-0.0,1.27942,-0.27942,-0.86603,0.5,0.36308015979760433
-1.0,0.0,-0.9,-1.0,-0.95197,0.00197,-0.39103,1.34103,-0.88785,0.46013,0.3398876702270584
-1.0,0.0,-0.9,-0.9,-0.95197,0.00197,-0.30442,1.25442,-0.88785,0.46013,0.3332359619852683
-1.0,0.0,-0.9,-0.8,-0.95197,0.00197,-0.21782,1.16782,-0.88785,0.46013,0.3287609400709989
-1.0,0.0,-0.9,-0.7,-0.95197,0.00197,-0.13122,1.08122,-0.88785,0.46013,0.32577042183781135
-1.0,0.0,-0.9,-0.6,-0.95197,0.00197,-0.04462,0.99462,-0.88785,0.46013,0.32376591461232945
-1.0,0.0,-0.9,-0.5,-0.95197,0.00197,0.04199,0.90801,-0.88785,0.46013,0.32239637806128707
-1.0,0.0,-0.9,-0.4,-0.95197,0.00197,0.12859,0.82141,-0.88785,0.46013,0.3214145648043685
-1.0,0.0,-0.9,-0.3,-0.95197,0.00197,0.21519,0.73481,-0.88785,0.46013,0.3206389736786721
-1.0,0.0,-0.9,-0.2,-0.95197,0.00197,0.30179,0.64821,-0.88785,0.46013,0.3199243475842125
-1.0,0.0,-0.9,-0.1,-0.95197,0.00197,0.3884,0.5616,-0.88785,0.46013,0.3191356279457952
-1.0,0.0,-0.9,-0.0,-0.95197,0.00197,0.475,0.475,-0.88785,0.46013,0.31812351345708295
-1.0,0.0,-0.9,0.1,-0.95197,0.00197,0.5616,0.3884,-0.88785,0.46013,0.3191356279457952
-1.0,0.0,-0.9,0.2,-0.95197,0.00197,0.64821,0.30179,-0.88785,0.46013,0.3199243475842125
-1.0,0.0,-0.9,0.3,-0.95197,0.00197,0.73481,0.21519,-0.88785,0.46013,0.3206389736786721
-1.0,0.0,-0.9,0.4,-0.95197,0.00197,0.82141,0.12859,-0.88785,0.46013,0.3214145648043685
-1.0,0.0,-0.9,0.5,-0.95197,0.00197,0.90801,0.04199,-0.88785,0.46013,0.32239637806128707
-1.0,0.0,-0.9,0.6,-0.95197,0.00197,0.99462,-0.04462,-0.88785,0.46013,0.32376591461232945
-1.0,0.0,-0.9,0.7,-0.95197,0.00197,1.08122,-0.13122,-0.88785,0.46013,0.32577042183781135
-1.0,0.0,-0.9,0.8,-0.95197,0.00197,1.16782,-0.21782,-0.88785,0.46013,0.3287609400709989
-1.0,0.0,-0.9,0.9,-0.95197,0.00197,1.25442,-0.30442,-0.88785,0.46013,0.3332359619852683
-1.0,0.0,-0.8,-1.0,-0.90826,0.00826,-0.41603,1.31603,-0.90958,0.41554,0.31333297292138484
-1.0,0.0,-0.8,-0.9,-0.90826,0.00826,-0.32942,1.22942,-0.90958,0.41554,0.30336568926594965
-1.0,0.0,-0.8,-0.8,-0.90826,0.00826,-0.24282,1.14282,-0.90958,0.41554,0.2965769817382058
-1.0,0.0,-0.8,-0.7,-0.90826,0.00826,-0.15622,1.05622,-0.90958,0.41554,0.2920066671263817
-1.0,0.0,-0.8,-0.6,-0.90826,0.00826,-0.06962,0.96962,-0.90958,0.41554,0.2889345126349274
