j1,j2,j3,j4,e1,e2,Eigenvalue3,Eigenvalue4,First Eigenvector Comp 3,First Eigenvector Comp 4,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12,density_fin_13
1.0,0.0,-1.0,-1.0,0.25,0.75,-0.75,-0.25,-1.0,0.0,1.113564243921418e-22,3.720075976020836e-44,7.175095973164411e-66,1.0,1.928749847963918e-22,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.9,0.25,0.7,-0.75,-0.2,-1.0,0.0,7.503136855619194e-25,3.720075976020836e-44,1.0648786602415064e-63,1.0,1.2995814250075031e-24,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.8,0.25,0.65,-0.75,-0.15,-1.0,0.0,5.0555738460046926e-27,3.720075976020836e-44,1.580420060273613e-61,1.0,8.756510762696521e-27,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.7,0.25,0.6,-0.75,-0.1,-1.0,0.0,3.4064188624342294e-29,3.720075976020836e-44,2.3455513385429143e-59,1.0,5.900090541597062e-29,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.6,0.25,0.55,-0.75,-0.05,-1.0,0.0,2.295226975176684e-31,3.720075976020836e-44,3.481106839904311e-57,1.0,3.975449735908647e-31,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.5,0.25,0.5,-0.75,-0.0,-1.0,0.0,1.5465117709611753e-33,3.720075976020836e-44,5.166420632837861e-55,1.0,2.678636961808078e-33,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.4,0.25,0.45,-0.75,0.05,-1.0,0.0,1.0420314346198203e-35,3.720075976020836e-44,7.667648073722e-53,1.0,1.8048513878454153e-35,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.3,0.25,0.4,-0.75,0.1,-1.0,0.0,7.021152577850481e-38,3.720075976020836e-44,1.1379798735078682e-50,1.0,1.2160992992528258e-37,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.2,0.25,0.35,-0.75,0.15,-1.0,0.0,4.730815411093236e-40,3.720075976020836e-44,1.6889118802245324e-48,1.0,8.194012623990516e-40,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.1,0.25,0.3,-0.75,0.2,-1.0,0.0,3.187848995608086e-42,3.720075976020836e-44,2.5065674758999535e-46,1.0,5.521082277028533e-42,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
