j1,j3,j2,j4,e1,e2,Eigenvalue3,Eigenvalue4,First Eigenvector Comp 3,First Eigenvector Comp 4,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12,density_fin_13
-1.0,0.0,-1.0,-1.0,-0.5,0.5,-0.86603,0.86603,-0.4597,-0.88807,0.5641146906362872,0.13807119188925293,0.0,0.8607000657678284,-1.0842021724855044e-19,0.0,0.00014921185313878236,0.0011469987403259487,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.9,-0.5,0.45,-0.82684,0.87684,-0.47031,-0.8825,0.5489055983975525,0.16299834539076846,0.0,0.8352576758183821,-2.168404344971009e-19,0.0,0.00016688301781937143,0.0016756634595503626,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.8,-0.5,0.4,-0.78815,0.88815,-0.4812,-0.87661,0.5313786505667534,0.1909877077086364,0.0,0.8065210326133603,-1.3552527156068805e-19,0.0,0.00018478867585890594,0.002450624863368543,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.7,-0.5,0.35,-0.75,0.9,-0.49237,-0.87039,0.5114921246031191,0.22195000924931987,0.0,0.7744792594812652,-6.776263578034403e-19,0.0,0.00020239362116042918,0.003578861748522106,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.6,-0.5,0.3,-0.7124,0.9124,-0.5038,-0.86382,0.4892894868131399,0.255668018784961,0.0,0.7392110112905632,1.0299920638612292e-18,0.0,0.00021912328413175718,0.005208211791069915,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.5,-0.5,0.25,-0.67539,0.92539,-0.5155,-0.85689,0.46488817881961886,0.2917256191816412,0.0,0.7009450440521684,-8.944667923005412e-19,0.0,0.00023430406648564654,0.007538472602966782,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.4,-0.5,0.2,-0.63899,0.93899,-0.52744,-0.84959,0.43850579718144894,0.3295374312058919,0.0,0.6600168535256483,-2.9815559743351372e-18,0.0,0.0002472725941637263,0.010835843303562328,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.3,-0.5,0.15,-0.60322,0.95322,-0.53962,-0.84191,0.41042500753167244,0.36833042591417586,0.0,0.6168730513275114,-1.0842021724855044e-19,0.0,0.00025740170093689775,0.015447817322709825,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.2,-0.5,0.1,-0.56811,0.96811,-0.55201,-0.83384,0.3810205803176688,0.40714021562226477,0.0,0.5720612480892524,4.228388472693467e-18,0.0,0.0002641103744773093,0.02181782988278048,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.1,-0.5,0.05,-0.5337,0.9837,-0.5646,-0.82537,0.35071274075218967,0.44482874947889983,0.0,0.526200462277096,-5.908901840045999e-18,0.0,0.00026692119134015877,0.030497863733079337,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.0,-0.5,0.0,-0.5,1.0,-0.57735,-0.8165,0.31992767146859075,0.480160239153208,0.0,0.47989467002976594,-5.204170427930421e-18,0.0,0.0002655705236552884,0.04215949328715958,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.1,-0.5,-0.05,-0.46704,1.01704,-0.59025,-0.80722,0.28910021206547276,0.5117784695127564,0.0,0.4337605985774717,2.0111950299606107e-17,0.0,0.0002599388275181617,0.05758855470297169,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.2,-0.5,-0.1,-0.43485,1.03485,-0.60326,-0.79755,0.2586424962873257,0.5382752503407451,0.0,0.38837690894810034,1.5070410197548512e-17,0.0,0.0002501057819349327,0.07766634794893698,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.3,-0.5,-0.15,-0.40344,1.05344,-0.61634,-0.78748,0.2289370836049996,0.5582691897356002,0.0,0.344245432522277,3.355605723842636e-17,0.0,0.00023636950740357445,0.10332707112180882,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.4,-0.5,-0.2,-0.37284,1.07284,-0.62948,-0.77702,0.2003251705132459,0.5704421543119865,0.0,0.3018366041158131,4.0332320816460765e-17,0.0,0.00021919729161132284,0.13547092444732653,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.5,-0.5,-0.25,-0.34307,1.09307,-0.64262,-0.76618,0.17312614697312667,0.5736801978163398,0.0,0.2615592066975066,-2.417770844642675e-17,0.0,0.0001992319313301764,0.1748464454987528,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.6,-0.5,-0.3,-0.31414,1.11414,-0.65573,-0.75499,0.1476077215414266,0.5672078963649113,0.0,0.22377340169008658,-8.584170700653981e-17,0.0,0.0001772875354764951,0.22189399969561868,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.7,-0.5,-0.35,-0.28607,1.13607,-0.66878,-0.74346,0.12402593981093663,0.5507289523193448,0.0,0.18881658833886916,-6.0173220572945496e-18,0.0,0.00015426123671220766,0.2765689603096261,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.8,-0.5,-0.4,-0.25887,1.15887,-0.68171,-0.73162,0.10260093590849778,0.5245825005185181,0.0,0.15697991688796603,-7.020209066843641e-18,0.0,0.00013110576142373928,0.33820063061678723,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.9,-0.5,-0.45,-0.23255,1.18255,-0.6945,-0.71949,0.0835002634234901,0.4898144225442122,0.0,0.12850022592538815,2.665782091598734e-17,0.0,0.00010874742363130093,0.4054251409645275,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-1.0,-0.5,0.5,-0.80932,0.80932,-0.43715,-0.89939,0.5360251564633144,0.17532628558867702,2.168404344971009e-19,0.8229891935674272,-7.047314121155779e-19,0.0,0.00025159143964487206,0.001522488825705892,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.9,-0.5,0.45,-0.76912,0.81912,-0.44825,-0.89391,0.5171455422207724,0.2061639641901481,0.0,0.7914889768193658,-2.710505431213761e-19,0.0,0.0002816964927330733,0.002194449539821645,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.8,-0.5,0.4,-0.72942,0.82942,-0.4597,-0.88807,0.49575903467732263,0.24030061447046894,0.0,0.7564061720684407,-2.710505431213761e-19,0.0,0.0003118550179306673,0.003167688319234395,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.7,-0.5,0.35,-0.69026,0.84026,-0.47151,-0.88186,0.471941719128107,0.27742584656833885,0.0,0.7179347999992645,4.336808689942018e-19,0.0,0.0003410427024552562,0.0045669542372024415,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.6,-0.5,0.3,-0.65166,0.85166,-0.48366,-0.87526,0.4458953705640871,0.3170455333906521,0.0,0.6764112675855262,1.0299920638612292e-18,0.0,0.00036815636181988684,0.006560988354107259,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.5,-0.5,0.25,-0.61366,0.86366,-0.49615,-0.86824,0.4179426776026163,0.35843901416793267,0.0,0.6323473458459263,6.505213034913027e-19,0.0,0.0003919833368058353,0.009373014787941083,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.4,-0.5,0.2,-0.57629,0.87629,-0.50897,-0.86078,0.38848734900840776,0.40070034762615553,0.0,0.5863767888559954,2.168404344971009e-19,0.0,0.00041137772585410294,0.01329344724561352,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.3,-0.5,0.15,-0.53958,0.88958,-0.52211,-0.85288,0.3579868522357507,0.44275697719190726,0.0,0.5392248024185557,-3.2526065174565133e-19,0.0,0.0004253360067920144,0.018692442500587034,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.2,-0.5,0.1,-0.50356,0.90356,-0.53554,-0.84451,0.3269722755717576,0.48340886942283146,0.0,0.49165755054489424,3.74049749507499e-18,0.0,0.0004330349006781614,0.026031829415531012,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.1,-0.5,0.05,-0.46827,0.91827,-0.54924,-0.83566,0.2959625784489198,0.5213614577746711,0.0,0.44444118914520087,-1.7618285302889447e-17,0.0,0.00043391170568112214,0.035873649280378714,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.0,-0.5,0.0,-0.43374,0.93374,-0.56319,-0.82633,0.26543282268257756,0.5552948563647025,0.0,0.39826825275890626,5.637851296924623e-18,0.0,0.0004277584937454317,0.04888470701519386,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.1,-0.5,-0.05,-0.4,0.95,-0.57735,-0.8165,0.23582168340901538,0.5838938514497128,-6.938893903907228e-18,0.35373485646284253,-8.185726402265558e-18,0.0,0.00041466864543112774,0.06582891705308817,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.2,-0.5,-0.1,-0.36708,0.96708,-0.59169,-0.80617,0.2074808137431857,0.60588926625585,0.0,0.31132240653834964,-2.336455681706262e-17,0.0,0.0003950686883650836,0.08754284315631923,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.3,-0.5,-0.15,-0.33502,0.98502,-0.60616,-0.79534,0.18070155032808882,0.620097792535351,0.0,0.2714060865755213,-1.1221492485224971e-17,0.0,0.000369639473873169,0.11488438309563574,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.4,-0.5,-0.2,-0.30383,1.00383,-0.62072,-0.78403,0.15567665632482025,0.6255219301491464,0.0,0.23422645304039488,2.883977778811442e-17,0.0,0.0003394029442935965,0.14865672460700427,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.5,-0.5,-0.25,-0.27356,1.02356,-0.63532,-0.77225,0.1325764645679135,0.6213805424221275,0.0,0.19997998254591656,-5.57822017743792e-17,0.0,0.0003054849542674409,0.18947986547340595,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.6,-0.5,-0.3,-0.2442,1.0442,-0.64991,-0.76001,0.11149284124513828,0.6072978982523074,0.0,0.16875111793206574,1.135701775678566e-16,0.0,0.00026928570848124223,0.23766180321351468,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.7,-0.5,-0.35,-0.2158,1.0658,-0.66444,-0.74734,0.09251227038475535,0.5833499102808957,0.0,0.14063072983982425,-1.192622389734055e-16,0.0,0.00023218629930052843,0.2930238707392465,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.8,-0.5,-0.4,-0.18836,1.08836,-0.67885,-0.73428,0.07566794931759518,0.5502363345984036,0.0,0.11563716784303492,8.145068820797352e-17,0.0,0.0001956461372062956,0.35480153148147725,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.9,-0.5,-0.45,-0.16189,1.11189,-0.69309,-0.72085,0.060967750978525304,0.5092855617773515,0.0,0.09376047294711293,9.725293487194975e-17,0.0,0.0001609852319757488,0.42159254077308356,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.8,-1.0,-0.5,0.5,-0.75498,0.75498,-0.41093,-0.91167,0.5037297846228133,0.21800910023298933,-2.168404344971009e-19,0.7797009527399789,3.7947076036992655e-19,0.0,0.00041050895309422634,0.001996907885518823,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.8,-0.9,-0.5,0.45,-0.71366,0.76366,-0.42246,-0.90638,0.48102683992388945,0.25504463844135816,0.0,0.741829099050483,3.7947076036992655e-19,0.0,0.0004598457087821739,0.0028330650702523413,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.8,-0.8,-0.5,0.4,-0.67284,0.77284,-0.43443,-0.90071,0.45578741747762885,0.2953391388089146,0.0,0.7003627216699693,5.421010862427522e-19,0.0,0.0005086130580011425,0.004026380436676642,0.0,0.0,0.0,0.0,-0.0,0.0
